"NumeroSequence","Espece","TempsDebutSequence","TempsFinSequence","DureeSequence","Nuit"
1,"pipkuh",2020-06-10 19:19:04.5,2020-06-10 19:19:04.9,0.400000095367432,"2020-06-10"
2,"pipkuh",2020-06-10 19:34:25.879,2020-06-10 19:34:29.679,3.79999995231628,"2020-06-10"
3,"pipkuh",2020-06-10 19:39:18.705,2020-06-10 19:39:21.905,3.20000004768372,"2020-06-10"
4,"pipkuh",2020-06-10 19:46:36.997,2020-06-10 19:46:48.263,11.2660000324249,"2020-06-10"
5,"pipkuh",2020-06-10 19:47:11.869,2020-06-10 19:47:13.569,1.69999980926514,"2020-06-10"
6,"pipkuh",2020-06-10 20:04:54.031,2020-06-10 20:04:55.031,1,"2020-06-10"
7,"pipkuh",2020-06-10 20:07:15.015,2020-06-10 20:07:18.715,3.70000004768372,"2020-06-10"
8,"pipkuh",2020-06-10 20:31:43.768,2020-06-10 20:31:52.468,8.70000004768372,"2020-06-10"
9,"pipkuh",2020-06-10 20:54:34.793,2020-06-10 20:54:47.093,12.2999999523163,"2020-06-10"
10,"pipkuh",2020-06-10 21:07:29.775,2020-06-10 21:07:29.875,0.100000143051147,"2020-06-10"
11,"pipkuh",2020-06-10 21:18:09.655,2020-06-10 21:18:09.855,0.200000047683716,"2020-06-10"
12,"pipkuh",2020-06-10 21:18:12.055,2020-06-10 21:18:18.255,6.20000004768372,"2020-06-10"
13,"pipkuh",2020-06-10 21:18:22.901,2020-06-10 21:18:39.001,16.0999999046326,"2020-06-10"
14,"pipkuh",2020-06-10 21:18:49.123,2020-06-10 21:18:52.823,3.70000004768372,"2020-06-10"
15,"pipkuh",2020-06-10 21:18:59.806,2020-06-10 21:19:11.6,11.7939999103546,"2020-06-10"
16,"pipkuh",2020-06-10 21:37:05.61,2020-06-10 21:37:05.71,0.0999999046325684,"2020-06-10"
17,"pipkuh",2020-06-10 21:45:41.351,2020-06-10 21:45:50.051,8.70000004768372,"2020-06-10"
18,"pipkuh",2020-06-10 21:45:55.451,2020-06-10 21:45:59.551,4.09999990463257,"2020-06-10"
19,"pipkuh",2020-06-10 22:29:54.298,2020-06-10 22:30:01.198,6.90000009536743,"2020-06-10"
20,"pipkuh",2020-06-10 22:30:08.471,2020-06-10 22:30:15.671,7.20000004768372,"2020-06-10"
21,"pipkuh",2020-06-11 00:11:29.376,2020-06-11 00:11:29.476,0.100000143051147,"2020-06-10"
22,"pipkuh",2020-06-11 00:35:21.191,2020-06-11 00:35:27.491,6.29999995231628,"2020-06-10"
