"nuit","mean_dur ","participation","n","esp"
2020-06-10,7.37000000476838,"1",10,"eptser"
2020-06-10,2.38571429252624,"1",7,"hypsav"
2020-06-10,3.1499999165535,"1",4,"minsch"
2020-06-10,1.79999995231628,"1",1,"myocap"
2020-06-10,1.90000003576279,"1",4,"myoema"
2020-06-10,2.76000006198883,"1",10,"myonat"
2020-06-10,1.78913043892902,"1",46,"nyclei"
2020-06-10,4.59999990463257,"1",1,"nycnoc"
2020-06-10,5.22375001758337,"1",32,"pipkuh"
2020-06-10,3.66666666666667,"1",6,"pipnat"
2020-06-10,6.44210136097831,"1",148,"pippip"
2020-06-10,5.01049074420223,"1",108,"pippyg"
2020-06-10,1.39999985694885,"1",1,"plemac"
2020-06-10,1.40000009536743,"1",1,"rhifer"
2020-06-10,0.100000143051147,"1",1,"tadten"
