"Group.1";"beetle";"bird";"bush.cricket";"buzz";"CF.FMd";"CF.FMd.CF";"cicada";"FMd";"FMd.QCF";"FMu.CF.FMd";"FMu.QCF";"FMu.QCF.FMd";"frog";"grasshopper";"ground.cricket";"insect";"moth";"noise";"other.mammal";"QCF.FMd";"MainMode";"FreqM";"FreqP";"FreqC";"Tstart";"Tend";"NbCris";"DurMed";"Dur90";"Ampm50";"Ampm90";"AmpSMd";"DiffME";"SR";"Ramp90";"Order";"Ind";"SpMaxF2";"Version";"Filename";"Commentaire";"IdMan"
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211900_000.wav";0.02;0.014;0.068;0.098;0.026;0.028;0.002;0.186;0.14;0.204;0.002;0.008;0.01;0.002;0;0.006;0.006;0.166;0.006;0.008;75;76;75;75.8;0.3;0.4;1;1;1;17;17;8;8.1;384000;1.1;"N12";0.204;"FMu-CF-FMd";26;"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211900_000.wav";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211900_000.wav";0.126;0.038;0.39;0.2;0.028;0.02;0.022;0.312;0.21;0.16;0.03;0.054;0.012;0.014;0.006;0.04;0.044;0.862;0.032;0.11;37.4;37;36.8;33.8;0;5;34;2;5;28.7;83.9;14;24.2;384000;-0.3;"N1";0.862;"noise";26;"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211900_000.wav";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211900_000.wav";0.168;0.046;0.198;0.2;0.038;0.014;0.014;0.318;0.216;0.126;0.028;0.086;0.012;0.006;0.006;0.034;0.058;0.818;0.032;0.122;51.8;50;51;48.8;0.1;4.9;33;2;5;37.9;97.9;16;32.9;384000;0;"N2";0.818;"noise";26;"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211900_000.wav";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211900_000.wav";0.032;0.142;0.196;0.082;0.04;0.008;0.08;0.194;0.066;0.074;0.01;0.024;0.048;0.012;0.002;0.024;0.036;0.81;0.068;0.026;14;15;14.2;15.4;0;4.8;17;1;5;21.8;68.9;9;17;384000;-0.3;"N3";0.81;"noise";26;"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211900_000.wav";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211900_000.wav";0.16;0.048;0.278;0.252;0.024;0.014;0.02;0.246;0.18;0.092;0.024;0.064;0.01;0.006;0.004;0.034;0.044;0.804;0.028;0.082;26.2;27;27;24;0;5;37;1;6;24.6;82.5;11;20.1;384000;-0.3;"N4";0.804;"noise";26;"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211900_000.wav";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211900_000.wav";0.134;0.038;0.162;0.196;0.022;0.018;0.012;0.216;0.134;0.064;0.01;0.048;0.01;0.006;0.004;0.038;0.042;0.774;0.018;0.058;44.5;44;44.2;44.2;0;5;22;2;4;32.3;57.3;13;28.9;384000;-0.4;"N5";0.774;"noise";26;"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211900_000.wav";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211900_000.wav";0.08;0.01;0.106;0.118;0.012;0.002;0.008;0.058;0.034;0.056;0.006;0.014;0.006;0.002;0;0.056;0.032;0.746;0.012;0.032;20.5;20;20.2;20.2;0.3;0.5;2;0;0;29.3;40.8;14;21;384000;-0.3;"N6";0.746;"noise";26;"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211900_000.wav";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211900_000.wav";0.072;0.04;0.498;0.106;0.018;0.016;0.014;0.154;0.184;0.16;0.01;0.05;0.008;0.02;0.004;0.03;0.034;0.72;0.024;0.076;32;33;32.2;31.5;0.3;4.9;9;2;11;32.9;123.2;15;30.4;384000;0;"N7";0.72;"noise";26;"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211900_000.wav";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211900_000.wav";0.086;0.032;0.178;0.102;0.014;0.008;0.01;0.21;0.086;0.07;0.022;0.04;0.01;0.008;0.004;0.046;0.056;0.646;0.026;0.026;57.2;57;57;57.8;0;4.7;6;1;3;36.8;149.1;14;31.9;384000;-0.6;"N8";0.646;"noise";26;"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211900_000.wav";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211900_000.wav";0.166;0.018;0.14;0.116;0.016;0.01;0.004;0.172;0.06;0.06;0.006;0.024;0.008;0.004;0.002;0.038;0.052;0.64;0.018;0.018;66.4;66;66;66;0;4.9;4;0;3;36.9;268;17;34.1;384000;0.4;"N9";0.64;"noise";26;"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211900_000.wav";"";""
