"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211900_000";"0.0";5.0;40.0;"noise";0.94;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211900_000";4.5;4.9;38.0;"Pipkuh";0.72;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211905_000";"0.0";5.0;35.0;"noise";0.84;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211905_000";"0.0";5.0;13.0;"Tetvir";0.97;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211910_000";"0.0";5.0;32.0;"noise";0.91;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211915_000";"0.0";4.7;25.0;"noise";0.95;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211920_000";"0.0";5.0;29.0;"noise";0.95;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211920_000";"0.0";5.0;51.0;"Pippip";0.95;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211925_000";0.2;5.0;29.0;"noise";0.92;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211925_000";"0.0";4.9;57.0;"Pippip";0.96;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211930_000";"0.0";1.8;41.0;"noise";0.96;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211934_881";0.1;4.3;29.0;"noise";0.92;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211934_881";0.1;4.9;11.0;"Tetvir";0.98;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211939_881";0.2;0.3;30.0;"noise";0.96;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211939_881";0.1;0.4;10.0;"Tetvir";0.94;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211944_606";"0.0";2.7;20.0;"noise";0.95;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211949_606";3.3;3.4;34.0;"noise";0.31;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211949_606";0.7;3.4;18.0;"Phanan";0.04;"Tetvir, Pippip, Phogri";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211954_606";1.6;4.6;34.0;"noise";0.95;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211954_606";1.3;4.3;10.0;"Tetvir";0.91;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211959_606";0.3;4.9;34.0;"noise";0.85;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_211959_606";0.5;5.0;11.0;"Tetvir";0.96;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212004_606";0.5;4.0;34.0;"noise";0.69;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212004_606";"0.0";3.9;11.0;"Tetvir";0.9;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212010_389";1.2;4.8;22.0;"noise";0.92;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212015_389";0.4;4.2;27.0;"noise";0.87;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212015_389";0.4;4.8;11.0;"Tetvir";0.98;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212020_389";1.2;5.0;32.0;"noise";0.96;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212020_389";0.5;5.0;12.0;"Tetvir";0.97;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212025_389";"0.0";4.9;35.0;"noise";0.93;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212025_389";"0.0";4.6;11.0;"Tetvir";0.96;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212030_389";0.1;5.0;46.0;"noise";0.84;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212030_389";2.0;2.4;36.0;"Testes";0.16;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212035_389";"0.0";4.9;37.0;"noise";0.8;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212035_389";0.2;4.4;48.0;"Pippip";0.93;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212035_389";3.0;4.4;11.0;"Tetvir";0.86;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212040_389";"0.0";5.0;35.0;"noise";0.94;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212040_389";2.6;4.1;10.0;"Tetvir";0.49;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212045_389";"0.0";5.0;32.0;"noise";0.82;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212045_389";"0.0";4.9;25.0;"Tetvir";0.95;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212050_389";"0.0";5.0;34.0;"noise";0.84;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212050_389";0.4;0.6;10.0;"Phogri";0.13;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212055_389";"0.0";5.0;42.0;"noise";0.94;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212100_389";"0.0";5.0;35.0;"noise";0.91;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212105_389";"0.0";1.5;30.0;"noise";0.74;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212107_163";"0.0";4.6;31.0;"noise";0.94;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212107_163";"0.0";5.0;22.0;"Tetvir";0.97;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212112_163";"0.0";2.6;31.0;"noise";0.95;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212122_650";1.0;1.1;31.0;"noise";0.83;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212122_650";0.1;4.9;11.0;"Tetvir";0.93;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212122_650";1.7;1.8;40.0;"Yerray";0.39;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212127_650";0.4;5.0;28.0;"noise";0.75;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212127_650";0.4;5.0;11.0;"Tetvir";0.97;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212132_650";0.1;5.0;33.0;"noise";0.94;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212137_650";"0.0";4.9;35.0;"noise";0.91;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212142_650";"0.0";2.3;28.0;"noise";0.93;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212142_650";0.6;0.9;10.0;"Phogri";0.06;"Tetvir, Pippip";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212156_363";"0.0";5.0;45.0;"noise";0.94;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212156_363";1.2;4.7;48.0;"Pippip";0.58;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212201_363";"0.0";5.0;45.0;"noise";0.9;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212201_363";"0.0";5.0;33.0;"Tetvir";0.94;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212206_363";"0.0";5.0;42.0;"noise";0.87;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212206_363";"0.0";2.5;10.0;"Phogri";0.12;"Tetvir";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212211_363";"0.0";5.0;37.0;"noise";0.88;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212211_363";1.4;3.5;10.0;"Phogri";0.3;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212216_363";"0.0";4.9;49.0;"noise";0.9;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212221_363";0.2;5.0;48.0;"noise";0.82;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212226_363";"0.0";5.0;43.0;"noise";0.93;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212231_363";"0.0";4.5;46.0;"noise";0.85;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212236_363";0.2;5.0;46.0;"noise";0.86;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212241_363";"0.0";5.0;38.0;"noise";0.86;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212246_363";"0.0";5.0;34.0;"noise";0.88;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212251_363";"0.0";1.0;37.0;"noise";0.79;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212252_847";0.2;5.0;44.0;"noise";0.88;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212257_847";"0.0";5.0;39.0;"noise";0.97;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212302_847";"0.0";5.0;37.0;"noise";0.95;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212307_847";"0.0";5.0;33.0;"noise";0.84;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212312_847";"0.0";4.3;30.0;"noise";0.85;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212312_847";"0.0";5.0;18.0;"Tetvir";0.91;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212317_847";"0.0";5.0;26.0;"noise";0.96;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212317_847";3.2;3.4;18.0;"Plaint";0.04;"Tetvir, Sepsep, Phogri";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212322_847";"0.0";5.0;27.0;"noise";0.94;"";"";"";"";""
